0.5238,-0.3,0,0,0,0,0,0,0,0,0,0,0
0.52289,-0.29966,-0.00065728,-0.023078,0.0047135,-0.0055464,-0.014482,0.019881,0.022078,-0.023654,0.007329,-0.0089044,0
0.52289,-0.2976,0.00053126,-0.053078,0.034714,-0.035546,0.015518,0.049881,0.072078,0.026346,0.057329,0.041096,0
0.52245,-0.29635,-0.0012969,-0.023078,0.064714,-0.065546,0.045518,0.019881,0.12208,-0.023654,0.10733,0.0054807,0
0.52132,-0.29492,-0.0024702,0.006922,0.094714,-0.095546,0.075518,-0.010119,0.17208,-0.064565,0.15733,0.0011121,0
0.52022,-0.29362,-0.0032797,0.036922,0.12471,-0.12555,0.10552,-0.040119,0.22208,-0.089282,0.19469,-0.0003752,0
0.51919,-0.29252,-0.003887,0.066922,0.15471,-0.15555,0.13552,-0.070119,0.26655,-0.10649,0.22252,-0.00093153,0
0.51843,-0.29167,-0.0043326,0.096922,0.18471,-0.18555,0.16137,-0.10012,0.3006,-0.11877,0.24424,-0.00088559,0
0.51787,-0.291,-0.0046586,0.12692,0.21471,-0.21555,0.17888,-0.13012,0.327,-0.12736,0.26158,-0.00041546,0
0.51749,-0.29047,-0.0048817,0.15692,0.24456,-0.24555,0.19029,-0.16012,0.34696,-0.13271,0.27534,0.00043323,0
0.51729,-0.29008,-0.0050033,0.18692,0.26993,-0.27555,0.19707,-0.19012,0.36081,-0.13481,0.28581,0.0017131,0
0.51722,-0.2898,-0.0050468,0.21692,0.29205,-0.30555,0.20057,-0.22012,0.36952,-0.13439,0.29353,0.0031262,0
0.5173,-0.28964,-0.0050216,0.24692,0.3117,-0.33555,0.20167,-0.25012,0.37355,-0.13173,0.29877,0.0045677,0
0.51751,-0.28957,-0.0049309,0.27692,0.32943,-0.36555,0.20094,-0.28012,0.37303,-0.1269,0.30168,0.0059807,0
0.51786,-0.28961,-0.0047742,0.30692,0.34562,-0.39475,0.1988,-0.31012,0.36788,-0.11983,0.30227,0.0073088,0
0.51838,-0.28976,-0.0045459,0.33692,0.36057,-0.4212,0.19555,-0.34012,0.35764,-0.11028,0.30037,0.0085098,0
0.51908,-0.29004,-0.0042322,0.36692,0.37452,-0.44537,0.19143,-0.37012,0.3414,-0.097793,0.29555,0.0095792,0
0.52001,-0.29048,-0.0038175,0.39692,0.38764,-0.4676,0.18661,-0.40012,0.31788,-0.081804,0.28716,0.010433,0
0.52123,-0.29113,-0.0032818,0.42692,0.40006,-0.4881,0.18118,-0.43012,0.28531,-0.06164,0.27429,0.010904,0
0.52279,-0.29204,-0.0025988,0.45692,0.41187,-0.50702,0.17521,-0.46012,0.2412,-0.036404,0.2556,0.010721,0
